trajectory_id,split
traj_0345,train
traj_0346,train
traj_0347,test
traj_0348,test
traj_0349,train
traj_0350,train
traj_0351,train
traj_0352,train
traj_0353,train
traj_0354,train
traj_0355,train
traj_0356,val
traj_0357,train
traj_0358,val
traj_0359,val
traj_0360,train
traj_0361,train
traj_0362,train
traj_0363,test
traj_0364,val
traj_0365,val
traj_0366,test
traj_0367,train
traj_0368,train
traj_0369,test
traj_0370,train
traj_0371,train
traj_0372,test
traj_0373,train
traj_0374,train
traj_0375,val
traj_0376,train
traj_0377,test
traj_0378,val
traj_0379,train
traj_0380,val
traj_0381,train
traj_0382,train
traj_0383,train
traj_0384,train
traj_0385,train
traj_0386,train
traj_0387,val
traj_0388,train
traj_0389,train
traj_0390,train
traj_0391,val
traj_0392,train
traj_0393,train
traj_0394,train
traj_0395,test
traj_0396,test
traj_0397,test
traj_0398,train
traj_0399,train
traj_0400,train
traj_0401,train
traj_0402,train
traj_0403,train
traj_0404,train
traj_0405,train
traj_0406,train
traj_0407,test
traj_0408,train
traj_0409,train
traj_0410,test
traj_0411,val
traj_0412,train
traj_0413,train
traj_0414,train
traj_0415,train
traj_0416,train
traj_0417,train
traj_0418,train
traj_0419,val
traj_0420,train
traj_0421,test
traj_0422,val
traj_0423,train
traj_0424,train
traj_0425,train
traj_0426,train
traj_0427,val
traj_0428,train
traj_0429,train
traj_0430,train
traj_0431,train
traj_0432,train
traj_0433,train
traj_0434,test
traj_0435,train
traj_0436,train
traj_0437,train
traj_0438,train
traj_0439,train
traj_0440,train
traj_0441,train
traj_0442,train
traj_0443,test
traj_0444,train
traj_0445,train
traj_0446,train
traj_0447,train
traj_0448,val
traj_0449,val
traj_0450,train
traj_0451,val
traj_0452,train
traj_0453,train
traj_0454,test
traj_0455,train
traj_0456,train
traj_0457,train
traj_0458,train
traj_0459,train
traj_0460,train
traj_0461,test
traj_0462,train
traj_0463,train
traj_0464,train
traj_0465,train
traj_0466,train
traj_0467,train
traj_0468,train
traj_0469,train
traj_0470,train
traj_0471,train
traj_0472,train
traj_0473,train
traj_0474,train
traj_0475,test
traj_0476,train
traj_0477,train
traj_0478,train
traj_0479,train
traj_0480,train
traj_0481,train
traj_0482,train
traj_0483,train
traj_0484,train
traj_0485,train
traj_0486,train
traj_0487,train
traj_0488,train
traj_0489,train
traj_0490,train
traj_0491,train
traj_0492,val
traj_0493,train
traj_0494,train
traj_0495,val
traj_0496,test
traj_0497,train
traj_0498,train
traj_0499,train
traj_0500,val
traj_0501,train
traj_0502,val
traj_0503,train
traj_0504,train
traj_0505,train
traj_0506,val
traj_0507,test
traj_0508,val
traj_0509,val
traj_0510,train
traj_0511,train
traj_0512,train
traj_0513,train
traj_0514,train
traj_0515,train
traj_0516,val
traj_0517,train
traj_0518,val
traj_0519,train
traj_0520,test
traj_0521,train
traj_0522,test
traj_0523,train
traj_0524,val
traj_0525,test
traj_0526,train
traj_0527,train
traj_0528,train
traj_0529,train
traj_0530,test
traj_0531,train
traj_0532,test
traj_0533,test
traj_0534,test
traj_0535,train
traj_0536,train
traj_0537,train
traj_0538,test
traj_0539,train
traj_0540,test
traj_0541,train
traj_0542,train
traj_0543,train
traj_0544,train
traj_0545,train
traj_0546,train
traj_0547,test
traj_0548,val
traj_0549,test
traj_0550,train
traj_0551,train
traj_0552,train
traj_0553,train
traj_0554,train
traj_0555,train
traj_0556,test
traj_0557,test
traj_0558,train
traj_0559,val
traj_0560,train
traj_0561,train
traj_0562,train
traj_0563,test
traj_0564,val
traj_0565,train
traj_0566,train
traj_0567,train
traj_0568,train
traj_0569,train
traj_0570,val
traj_0571,train
traj_0572,train
traj_0573,train
traj_0574,train
traj_0575,train
traj_0576,val
traj_0577,val
traj_0578,train
traj_0579,train
traj_0580,train
traj_0581,test
traj_0582,test
traj_0583,val
traj_0584,train
traj_0585,test
traj_0586,train
traj_0587,train
traj_0588,train
traj_0589,train
traj_0590,train
traj_0591,test
traj_0592,val
traj_0593,val
traj_0594,val
traj_0595,test
traj_0596,train
traj_0597,train
traj_0598,train
traj_0599,val
traj_0600,train
traj_0601,train
traj_0602,train
traj_0603,train
traj_0604,train
traj_0605,test
traj_0606,test
traj_0607,val
traj_0608,test
traj_0609,val
traj_0610,train
traj_0611,test
traj_0612,train
traj_0613,test
traj_0614,val
traj_0615,train
traj_0616,train
traj_0617,val
traj_0618,test
traj_0619,train
traj_0620,train
traj_0621,train
traj_0622,train
traj_0623,train
traj_0624,test
traj_0625,test
traj_0626,train
traj_0627,train
traj_0628,train
traj_0629,train
traj_0630,train
traj_0631,train
traj_0632,train
traj_0633,train
traj_0634,train
traj_0635,val
traj_0636,test
traj_0637,train
traj_0638,val
traj_0639,train
traj_0640,train
traj_0641,train
traj_0642,train
traj_0643,train
traj_0644,train
traj_0645,train
traj_0646,train
traj_0647,train
traj_0648,train
traj_0649,val
traj_0650,val
traj_0651,train
traj_0652,val
traj_0653,train
traj_0654,train
traj_0655,train
traj_0656,train
traj_0657,train
traj_0658,train
traj_0659,train
traj_0660,train
traj_0661,train
traj_0662,train
traj_0663,train
traj_0664,train
traj_0665,train
traj_0666,train
traj_0667,train
traj_0668,train
traj_0669,train
traj_0670,train
traj_0671,train
traj_0672,train
traj_0673,train
traj_0674,train
traj_0675,train
traj_0676,train
traj_0677,test
traj_0678,test
traj_0679,val
traj_0680,test
traj_0681,train
traj_0682,train
traj_0683,train
traj_0684,test
traj_0685,train
traj_0686,train
traj_0687,train
traj_0688,train
traj_0689,test
traj_0690,val
traj_0691,train
traj_0692,train
traj_0693,train
traj_0694,train
traj_0695,test
traj_0696,test
traj_0697,train
traj_0698,train
traj_0699,train
traj_0700,train
traj_0701,val
traj_0702,train
traj_0703,train
traj_0704,train
traj_0705,test
traj_0706,train
traj_0707,train
traj_0708,val
traj_0709,val
traj_0710,train
traj_0711,train
traj_0712,train
traj_0713,val
traj_0714,train
traj_0715,train
traj_0716,train
traj_0717,val
traj_0718,test
traj_0719,test
traj_0720,train
traj_0721,train
traj_0722,val
traj_0723,train
traj_0724,train
traj_0725,train
traj_0726,train
traj_0727,val
traj_0728,train
traj_0729,test
traj_0730,train
traj_0731,train
traj_0732,test
traj_0733,train
traj_0734,train
traj_0735,train
traj_0736,train
traj_0737,train
traj_0738,train
traj_0739,val
traj_0740,val
traj_0741,test
traj_0742,val
traj_0743,test
traj_0744,train
traj_0745,train
traj_0746,val
traj_0747,train
traj_0748,train
traj_0749,val
traj_0750,train
traj_0751,train
traj_0752,train
traj_0753,train
traj_0754,val
traj_0755,val
traj_0756,train
traj_0757,train
traj_0758,val
traj_0759,train
traj_0760,train
traj_0761,train
traj_0762,train
traj_0763,val
traj_0764,train
traj_0765,test
traj_0766,train
traj_0767,train
traj_0768,train
traj_0769,train
traj_0770,train
traj_0771,train
traj_0772,val
traj_0773,train
traj_0774,train
traj_0775,val
traj_0776,train
traj_0777,train
traj_0778,test
traj_0779,train
traj_0780,train
traj_0781,train
traj_0782,test
traj_0783,train
traj_0784,train
traj_0785,train
traj_0786,test
traj_0787,train
traj_0788,train
traj_0789,val
traj_0790,train
traj_0791,train
traj_0792,train
traj_0793,train
traj_0794,train
traj_0795,train
traj_0796,test
traj_0797,val
traj_0798,train
traj_0799,test
traj_0800,train
traj_0801,train
traj_0802,train
traj_0803,train
traj_0804,train
traj_0805,train
traj_0806,train
traj_0807,test
traj_0808,train
traj_0809,train
traj_0810,test
traj_0811,test
traj_0812,train
traj_0813,train
traj_0814,train
traj_0815,train
traj_0816,train
traj_0817,train
traj_0818,val
traj_0819,train
traj_0820,train
traj_0821,val
traj_0822,train
traj_0823,train
traj_0824,test
traj_0825,train
traj_0826,train
traj_0827,train
traj_0828,train
traj_0829,train
traj_0830,val
traj_0831,train
traj_0832,train
traj_0833,train
traj_0834,val
traj_0835,train
traj_0836,train
traj_0837,train
traj_0838,train
traj_0839,test
traj_0840,train
traj_0841,test
traj_0842,val
traj_0843,train
traj_0844,test
traj_0845,train
traj_0846,train
traj_0847,train
traj_0848,test
traj_0849,train
traj_0850,train
traj_0851,val
traj_0852,train
traj_0853,train
traj_0854,train
traj_0855,train
traj_0856,train
traj_0857,train
traj_0858,val
traj_0859,train
traj_0860,test
traj_0861,test
traj_0862,val
traj_0863,train
traj_0864,train
traj_0865,test
traj_0866,val
traj_0867,val
traj_0868,train
traj_0869,train
traj_0870,train
traj_0871,train
traj_0872,train
traj_0873,train
traj_0874,train
traj_0875,train
traj_0876,train
traj_0877,train
traj_0878,train
traj_0879,test
traj_0880,train
traj_0881,val
traj_0882,train
traj_0883,test
traj_0884,train
traj_0885,train
traj_0886,train
traj_0887,val
traj_0888,test
traj_0889,test
traj_0890,test
traj_0891,test
traj_0892,test
traj_0893,train
traj_0894,train
traj_0895,train
traj_0896,train
traj_0897,train
traj_0898,train
traj_0899,train
traj_0900,val
traj_0901,train
traj_0902,train
traj_0903,test
traj_0904,train
traj_0905,train
traj_0906,train
traj_0907,train
traj_0908,val
traj_0909,val
traj_0910,train
traj_0911,val
traj_0912,test
traj_0913,test
traj_0914,train
traj_0915,train
traj_0916,train
traj_0917,train
traj_0918,train
traj_0919,train
traj_0920,train
traj_0921,train
traj_0922,test
traj_0923,val
traj_0924,val
traj_0925,test
traj_0926,train
traj_0927,train
traj_0928,train
traj_0929,val
traj_0930,train
traj_0931,val
traj_0932,train
traj_0933,train
traj_0934,train
traj_0935,val
traj_0936,train
traj_0937,train
traj_0938,train
traj_0939,train
traj_0940,train
traj_0941,val
traj_0942,train
traj_0943,train
traj_0944,train
traj_0945,train
traj_0946,test
traj_0947,val
traj_0948,train
traj_0949,train
traj_0950,val
traj_0951,train
traj_0952,train
traj_0953,train
traj_0954,train
traj_0955,test
traj_0956,train
traj_0957,train
traj_0958,test
traj_0959,train
traj_0960,test
traj_0961,train
traj_0962,train
traj_0963,test
traj_0964,train
traj_0965,train
traj_0966,test
traj_0967,val
traj_0968,test
traj_0969,train
traj_0970,train
traj_0971,test
traj_0972,test
traj_0973,train
traj_0974,train
traj_0975,train
traj_0976,train
traj_0977,train
traj_0978,train
traj_0979,val
traj_0980,train
traj_0981,train
traj_0982,test
traj_0983,train
traj_0984,train
traj_0985,train
traj_0986,train
traj_0987,train
traj_0988,val
traj_0989,train
traj_0990,val
traj_0991,val
traj_0992,train
traj_0993,train
traj_0994,train
traj_0995,train
traj_0996,test
traj_0997,val
traj_0998,train
traj_0999,train
